TRINITY_DN9362_c0_g2_i1.p1,342,385,PS00375
TRINITY_DN9362_c0_g2_i1.p1,266,400,PF00201
TRINITY_DN12908_c0_g1_i11.p1,286,448,PF00201
TRINITY_DN12908_c0_g1_i11.p1,356,399,PS00375
TRINITY_DN13196_c4_g6_i1.p1,295,443,PF00201
TRINITY_DN13196_c4_g6_i1.p1,359,402,PS00375
TRINITY_DN9431_c0_g3_i1.p1,280,408,PF00201
TRINITY_DN10076_c0_g1_i1.p1,273,392,PF00201
TRINITY_DN12852_c0_g8_i1.p1,268,409,PF00201
TRINITY_DN12568_c0_g1_i2.p1,355,398,PS00375
TRINITY_DN12568_c0_g1_i2.p1,280,445,PF00201
TRINITY_DN12987_c2_g2_i1.p1,181,419,PF00201
TRINITY_DN12795_c4_g1_i9.p1,195,337,PF00201
TRINITY_DN12795_c4_g1_i10.p1,195,337,PF00201
TRINITY_DN13089_c1_g9_i1.p1,314,400,PF00201
TRINITY_DN13226_c0_g6_i1.p1,203,394,PF00201
TRINITY_DN16842_c0_g1_i1.p1,253,433,PF00201
TRINITY_DN11266_c0_g1_i1.p1,354,397,PS00375
TRINITY_DN11266_c0_g1_i1.p1,273,405,PF00201
TRINITY_DN9431_c0_g1_i1.p1,368,411,PS00375
TRINITY_DN9431_c0_g1_i1.p1,294,417,PF00201
TRINITY_DN13346_c0_g9_i1.p1,336,379,PS00375
TRINITY_DN13346_c0_g9_i1.p1,262,417,PF00201
TRINITY_DN10791_c1_g2_i1.p1,284,400,PF00201
TRINITY_DN10791_c1_g2_i1.p1,350,393,PS00375
TRINITY_DN13089_c1_g3_i2.p1,331,417,PF00201
TRINITY_DN22935_c0_g1_i1.p1,1,115,PF00201
TRINITY_DN12100_c0_g1_i3.p1,330,474,PF00201
TRINITY_DN16783_c0_g1_i1.p1,349,392,PS00375
TRINITY_DN16783_c0_g1_i1.p1,268,398,PF00201
TRINITY_DN2510_c0_g1_i1.p1,84,414,PF00201
TRINITY_DN9362_c0_g1_i2.p1,258,389,PF00201
TRINITY_DN9362_c0_g1_i2.p1,339,382,PS00375
TRINITY_DN11906_c7_g2_i1.p1,239,440,PF00201
TRINITY_DN11906_c7_g2_i1.p1,357,400,PS00375
TRINITY_DN12908_c0_g1_i8.p1,20,187,PF00201
TRINITY_DN12908_c0_g1_i8.p1,93,136,PS00375
TRINITY_DN21227_c0_g1_i1.p1,60,103,PS00375
TRINITY_DN21227_c0_g1_i1.p1,1,144,PF00201
TRINITY_DN11724_c0_g4_i2.p1,159,202,PS00375
TRINITY_DN11724_c0_g4_i2.p1,94,232,PF00201
TRINITY_DN13300_c1_g12_i2.p1,2,84,PF00201
TRINITY_DN9625_c1_g3_i2.p1,365,408,PS00375
TRINITY_DN9625_c1_g3_i2.p1,293,448,PF00201
TRINITY_DN13378_c1_g2_i9.p1,319,462,PF00201
TRINITY_DN13361_c0_g2_i2.p1,214,420,PF00201
TRINITY_DN13361_c0_g2_i2.p1,333,376,PS00375
TRINITY_DN12795_c4_g1_i16.p1,116,258,PF00201
TRINITY_DN12795_c4_g1_i13.p1,116,258,PF00201
TRINITY_DN12795_c4_g1_i12.p1,116,258,PF00201
TRINITY_DN12809_c0_g3_i1.p1,252,390,PF00201
TRINITY_DN12795_c4_g1_i4.p1,403,542,PF00201
