TRINITY_DN12908_c0_g1_i7.p1,258,425
TRINITY_DN10791_c1_g1_i1.p1,281,442
TRINITY_DN12795_c4_g1_i22.p1,47,125
TRINITY_DN12795_c4_g1_i7.p1,47,125
TRINITY_DN20695_c0_g1_i1.p1,278,398
TRINITY_DN10601_c0_g1_i3.p1,254,405
TRINITY_DN10601_c0_g1_i4.p1,254,405
TRINITY_DN1791_c0_g1_i1.p1,2,71
TRINITY_DN9176_c0_g1_i1.p1,254,432
TRINITY_DN12987_c2_g1_i2.p1,262,382
TRINITY_DN13294_c0_g6_i2.p1,245,410
TRINITY_DN12808_c0_g1_i2.p1,98,244
TRINITY_DN11906_c7_g1_i1.p1,90,443
TRINITY_DN12852_c0_g9_i1.p1,269,406
TRINITY_DN12267_c0_g2_i1.p1,271,398
TRINITY_DN4321_c0_g1_i1.p1,256,416
TRINITY_DN8387_c0_g1_i1.p1,258,423
TRINITY_DN12100_c0_g2_i1.p1,392,536
TRINITY_DN30037_c0_g1_i1.p1,279,382
TRINITY_DN25148_c0_g1_i1.p1,266,414
TRINITY_DN29212_c0_g1_i1.p1,262,420
TRINITY_DN3359_c0_g1_i2.p1,86,253
TRINITY_DN6742_c0_g2_i1.p1,271,443
TRINITY_DN13361_c0_g2_i1.p1,214,422
TRINITY_DN11906_c7_g3_i1.p1,226,439
TRINITY_DN12071_c0_g1_i1.p1,231,398
TRINITY_DN4346_c0_g1_i1.p1,208,406
TRINITY_DN8387_c0_g1_i2.p1,81,246
TRINITY_DN53_c0_g1_i1.p1,272,438
TRINITY_DN12987_c2_g1_i1.p1,262,420
TRINITY_DN13089_c1_g3_i1.p1,331,417
TRINITY_DN5735_c0_g1_i1.p1,85,246
TRINITY_DN13161_c1_g9_i1.p1,271,437
TRINITY_DN13361_c0_g2_i6.p1,266,438
TRINITY_DN7115_c0_g1_i1.p1,270,403
TRINITY_DN12908_c0_g1_i10.p1,9,125
TRINITY_DN12568_c0_g1_i1.p1,280,441
TRINITY_DN12613_c0_g1_i1.p1,269,433
TRINITY_DN25770_c0_g1_i1.p1,278,443
TRINITY_DN6060_c0_g1_i1.p1,272,437
TRINITY_DN2977_c0_g1_i1.p1,254,421
TRINITY_DN8784_c1_g2_i1.p1,5,142
TRINITY_DN11906_c6_g5_i1.p1,260,399
TRINITY_DN12071_c0_g1_i3.p1,243,432
TRINITY_DN12014_c1_g2_i1.p1,260,442
TRINITY_DN12071_c0_g1_i2.p1,231,417
TRINITY_DN12808_c0_g1_i1.p1,279,424
TRINITY_DN13300_c1_g12_i1.p1,2,84
TRINITY_DN13361_c0_g2_i3.p1,265,386
TRINITY_DN26198_c0_g1_i1.p1,48,213
TRINITY_DN13346_c0_g6_i1.p1,260,405
TRINITY_DN4135_c0_g1_i1.p1,32,120
TRINITY_DN9362_c0_g1_i1.p1,267,399
TRINITY_DN9362_c0_g1_i4.p1,267,399
TRINITY_DN12986_c1_g1_i3.p1,271,386
TRINITY_DN11906_c6_g8_i1.p1,237,375
TRINITY_DN7160_c0_g1_i2.p1,206,418
