jointids,ho8ids,ho8_quants,ho7_quantds
TRINITY_DN23632_c1_g1,TRINITY_DN20287_c0_g1_i15,39.366449,0.606121
TRINITY_DN24648_c0_g1,TRINITY_DN20148_c0_g1_i10,29.052964,28.271254
TRINITY_DN22046_c1_g2,TRINITY_DN18560_c0_g3_i1,3.72764,0
TRINITY_DN20365_c0_g2,TRINITY_DN16981_c0_g1_i1,38.37018,22.80762
TRINITY_DN23065_c1_g3,TRINITY_DN19226_c0_g2_i2,8.906904,5.32735
TRINITY_DN23925_c0_g1,TRINITY_DN20044_c0_g1_i1,40.0239849,11.699788
TRINITY_DN23925_c0_g1,TRINITY_DN20044_c0_g1_i2,40.0239849,11.699788
TRINITY_DN16139_c0_g1,TRINITY_DN19252_c0_g1_i4,18.671592,28.5307
TRINITY_DN23925_c0_g1,TRINITY_DN20044_c0_g1_i4,40.0239849,11.699788
TRINITY_DN9447_c0_g1,TRINITY_DN12759_c0_g1_i1,2.48612,0.038697
TRINITY_DN20667_c0_g3,TRINITY_DN19226_c0_g1_i1,16.080386,7.91329
TRINITY_DN17470_c0_g1,TRINITY_DN17156_c0_g1_i1,9.3589766,5.104378
TRINITY_DN22046_c3_g1,TRINITY_DN19699_c0_g1_i4,42.796253,10.6940252
TRINITY_DN23041_c2_g1,TRINITY_DN19012_c0_g1_i1,2.6483,0
TRINITY_DN22046_c3_g4,TRINITY_DN15303_c0_g1_i1,7.5475,0
TRINITY_DN23632_c1_g1,TRINITY_DN20287_c0_g1_i14,39.366449,0.606121
TRINITY_DN12022_c0_g2,TRINITY_DN20827_c0_g1_i1,1.66545,0.172844
TRINITY_DN18023_c0_g1,TRINITY_DN18860_c1_g1_i6,14.854808,0
TRINITY_DN24115_c0_g2,TRINITY_DN19451_c0_g3_i6,27.537803,10.2891249
TRINITY_DN18441_c1_g1,TRINITY_DN8712_c0_g1_i1,5.74697,6.54663
TRINITY_DN22046_c3_g1,TRINITY_DN19699_c0_g1_i3,42.796253,10.6940252
TRINITY_DN22011_c0_g1,TRINITY_DN19903_c0_g1_i6,15.793948,6.76361
TRINITY_DN18023_c0_g1,TRINITY_DN18860_c1_g1_i2,14.854808,0
TRINITY_DN22011_c0_g1,TRINITY_DN19903_c0_g1_i2,15.793948,6.76361
